id,name,collection,team,country,role,aim,hs,movement,aggression,acs,gamesense
578,Mistic,Valorant Masters Copenhagen 2022,fnatic,gb,flex,86.18,82.67,87.64,79.28,87.37,79.20
579,Alfajer,Valorant Masters Copenhagen 2022,fnatic,tr,sentinel,92.50,99.08,87.40,70.39,85.20,76.25
580,Enzo,Valorant Masters Copenhagen 2022,fnatic,fr,initiator,80.88,75.67,88.45,86.27,88.99,91.25
581,yay,Valorant Masters Copenhagen 2022,optic,us,sentinel,95.33,105.43,88.62,73.34,84.97,77.50
582,Marved,Valorant Masters Copenhagen 2022,optic,ca,controller,81.47,80.16,91.18,67.69,100.98,87.18
583,crashies,Valorant Masters Copenhagen 2022,optic,us,initiator,83.20,76.45,93.17,88.70,93.28,90.44
584,Victor,Valorant Masters Copenhagen 2022,optic,us,flex,89.95,84.26,92.50,83.29,88.52,91.84
585,FNS,Valorant Masters Copenhagen 2022,optic,ca,sentinel,86.54,94.17,82.53,66.64,78.17,99.22
586,Jinggg,Valorant Masters Copenhagen 2022,prx,sg,duelist,96.00,93.62,95.61,98.59,94.28,74.11
587,f0rsakeN,Valorant Masters Copenhagen 2022,prx,id,flex,96.68,89.03,94.08,92.24,97.02,90.65
588,d4v41,Valorant Masters Copenhagen 2022,prx,my,flex,93.19,87.07,94.07,90.93,92.40,88.23
589,Benkai,Valorant Masters Copenhagen 2022,prx,sg,flex,90.73,87.50,92.56,88.35,92.08,86.59
590,mindfreak,Valorant Masters Copenhagen 2022,prx,id,controller,80.50,77.65,90.14,64.46,97.13,109.46
591,ANGE1,Valorant Masters Copenhagen 2022,fpx,ua,controller,82.50,79.34,89.65,67.28,96.11,105.84
592,Shao,Valorant Masters Copenhagen 2022,fpx,united_nations,initiator,87.91,86.23,100.44,92.27,99.79,89.07
593,Zyppan,Valorant Masters Copenhagen 2022,fpx,tr,flex,102.65,94.95,99.96,97.04,101.45,66.20
594,SUYGETSU,Valorant Masters Copenhagen 2022,fpx,tr,sentinel,97.61,97.12,95.94,91.62,97.90,95.00
595,ardiis,Valorant Masters Copenhagen 2022,fpx,lv,duelist,92.55,89.87,97.59,99.84,86.00,84.11
596,ZynX,Base Card,no_team,kr,flex,76.17,72.16,74.28,70.83,76.11,52.38
597,sheydos,Base Card,no_team,ru,initiator,68.61,65.61,73.69,71.33,75.80,66.20
598,Flashback,Eternal Heroes,drx,kr,flex,100.48,92.95,95.24,95.90,99.99,99.34
599,seven,Base Card,no_team,mx,flex,74.98,54.86,77.90,63.00,76.00,79.90
600,Loita,Base Card,no_team,tr,controller,75.12,70.44,79.80,71.90,69.43,81.50
601,Rosé,Base Card,no_team,tr,initiator,70.52,66.04,76.95,69.60,60.17,77.40
602,lovers rock,Base Card,no_team,tr,duelist,73.04,59.28,76.00,75.00,74.80,61.50
603,Crewen,Base Card,no_team,tr,sentinel,76.08,72.16,79.80,65.90,67.73,65.10
604,Lar0k,Base Card,no_team,tr,flex,76.04,72.68,72.65,65.60,68.60,82.50
605,valyn,Valorant Masters Santiago 2026,g2,us,controller,86.84,80.75,80.87,69.25,81.99,90.62
606,trent,Valorant Masters Santiago 2026,g2,us,initiator,85.22,83.18,83.45,84.94,85.05,84.54
607,leaf,Valorant Masters Santiago 2026,g2,us,flex,86.93,85.88,83.03,76.09,82.51,86.70
608,jawgemo,Valorant Masters Santiago 2026,g2,kh,duelist,89.17,85.81,85.43,90.69,90.38,70.93
609,babybay,Valorant Masters Santiago 2026,g2,us,sentinel,83.35,80.77,82.87,80.27,80.75,85.16
610,Ethan,Valorant Masters Santiago 2026,nrg,us,flex,88.40,84.51,89.81,82.90,84.48,95.75
611,keiko,Valorant Masters Santiago 2026,nrg,gb,controller,82.49,84.61,92.95,69.57,98.08,87.14
612,brawk,Valorant Masters Santiago 2026,nrg,us,initiator,84.75,79.36,89.30,82.72,89.10,87.68
613,mada,Valorant Masters Santiago 2026,nrg,ca,duelist,98.22,89.78,93.56,88.37,77.29,63.12
614,skuba,Valorant Masters Santiago 2026,nrg,us,sentinel,99.10,90.56,94.50,75.78,88.03,87.08
615,invy,Valorant Masters Santiago 2026,prx,ph,initiator,86.57,82.49,94.19,89.63,94.05,93.94
616,Jinggg,Valorant Masters Santiago 2026,prx,sg,duelist,101.57,89.93,96.25,96.17,84.43,64.50
617,f0rsakeN,Valorant Masters Santiago 2026,prx,id,flex,94.13,86.75,96.68,87.17,91.33,91.34
618,d4v41,Valorant Masters Santiago 2026,prx,my,sentinel,95.94,110.29,92.25,75.37,89.92,82.07
619,something,Valorant Masters Santiago 2026,prx,ru,duelist,98.49,85.19,90.14,90.58,78.58,59.97
620,Dambi,Valorant Masters Santiago 2026,ns,kr,duelist,101.20,92.40,96.80,95.40,86.50,66.20
621,Rb,Valorant Masters Santiago 2026,ns,kr,controller,90.80,84.60,92.40,80.10,98.80,100.20
622,Francis,Valorant Masters Santiago 2026,ns,kr,flex,98.10,90.20,97.00,90.40,96.80,98.20
623,Ivy,Valorant Masters Santiago 2026,ns,kr,sentinel,97.60,109.80,95.40,80.20,93.50,93.20
624,Xross,Valorant Masters Santiago 2026,ns,kr,initiator,103.40,94.20,102.60,95.30,101.20,92.40
